position,surah,ayah,position_in_ayah,page,line,juz,number,number_last,text,rasm_imlai,marks,resegmented
30,2,2,1,2,1,1,31,31,ذَٰلِكَ,ذلك,,0
31,2,2,2,2,1,1,32,32,ٱلۡكِتَٰبُ,الكتاب,,0
32,2,2,3,2,1,1,33,33,لَا,لا,,0
33,2,2,4,2,1,1,34,34,رَيۡبَ,ريب,waqf:after:ۛ,0
34,2,2,5,2,1,1,35,35,فِيهِ,فيه,waqf:after:ۛ,0
35,2,2,6,2,1,1,36,36,هُدࣰى,هدى,,0
36,2,2,7,2,2,1,37,37,لِّلۡمُتَّقِينَ,للمتقين,,0
37,2,3,1,2,2,1,38,38,ٱلَّذِينَ,الذين,,0
38,2,3,2,2,2,1,39,39,يُؤۡمِنُونَ,يؤمنون,,0
39,2,3,3,2,2,1,40,40,بِٱلۡغَيۡبِ,بالغيب,,0
40,2,3,4,2,2,1,41,41,وَيُقِيمُونَ,ويقيمون,,0
41,2,3,5,2,2,1,42,42,ٱلصَّلَوٰةَ,الصلاة,,0
42,2,3,6,2,3,1,43,43,وَمِمَّا,ومما,,0
43,2,3,7,2,3,1,44,44,رَزَقۡنَٰهُمۡ,رزقناهم,,0
44,2,3,8,2,3,1,45,45,يُنفِقُونَ,ينفقون,,0
45,2,4,1,2,3,1,46,46,وَٱلَّذِينَ,والذين,,0
46,2,4,2,2,3,1,47,47,يُؤۡمِنُونَ,يؤمنون,,0
47,2,4,3,2,3,1,48,48,بِمَآ,بما,,0
48,2,4,4,2,3,1,49,49,أُنزِلَ,أنزل,,0
49,2,4,5,2,4,1,50,50,إِلَيۡكَ,إليك,,0
50,2,4,6,2,4,1,51,51,وَمَآ,وما,,0
51,2,4,7,2,4,1,52,52,أُنزِلَ,أنزل,,0
52,2,4,8,2,4,1,53,53,مِن,من,,0
53,2,4,9,2,4,1,54,54,قَبۡلِكَ,قبلك,,0
54,2,4,10,2,4,1,55,55,وَبِٱلۡأٓخِرَةِ,وبالآخرة,,0
55,2,4,11,2,4,1,56,56,هُمۡ,هم,,0
56,2,4,12,2,4,1,57,57,يُوقِنُونَ,يوقنون,,0
57,2,5,1,2,5,1,58,58,أُوْلَٰٓئِكَ,أولئك,,0
58,2,5,2,2,5,1,59,59,عَلَىٰ,على,,0
59,2,5,3,2,5,1,60,60,هُدࣰى,هدى,,0
60,2,5,4,2,5,1,61,61,مِّن,من,,0
61,2,5,5,2,5,1,62,62,رَّبِّهِمۡ,ربهم,waqf:after:ۖ,0
62,2,5,6,2,5,1,63,63,وَأُوْلَٰٓئِكَ,وأولئك,,0
63,2,5,7,2,6,1,64,64,هُمُ,هم,,0
64,2,5,8,2,6,1,65,65,ٱلۡمُفۡلِحُونَ,المفلحون,,0
65,2,6,1,3,1,1,66,66,إِنَّ,إن,,0
66,2,6,2,3,1,1,67,67,ٱلَّذِينَ,الذين,,0
67,2,6,3,3,1,1,68,68,كَفَرُواْ,كفروا,,0
68,2,6,4,3,1,1,69,69,سَوَآءٌ,سواء,,0
69,2,6,5,3,1,1,70,70,عَلَيۡهِمۡ,عليهم,,0
70,2,6,6,3,1,1,71,71,ءَأَنذَرۡتَهُمۡ,أأنذرتهم,,0
71,2,6,7,3,1,1,72,72,أَمۡ,أم,,0
72,2,6,8,3,1,1,73,73,لَمۡ,لم,,0
73,2,6,9,3,1,1,74,74,تُنذِرۡهُمۡ,تنذرهم,,0
74,2,6,10,3,2,1,75,75,لَا,لا,,0
75,2,6,11,3,2,1,76,76,يُؤۡمِنُونَ,يؤمنون,,0
76,2,7,1,3,2,1,77,77,خَتَمَ,ختم,,0
77,2,7,2,3,2,1,78,78,ٱللَّهُ,الله,,0
78,2,7,3,3,2,1,79,79,عَلَىٰ,على,,0
79,2,7,4,3,2,1,80,80,قُلُوبِهِمۡ,قلوبهم,,0
80,2,7,5,3,2,1,81,81,وَعَلَىٰ,وعلى,,0
81,2,7,6,3,2,1,82,82,سَمۡعِهِمۡ,سمعهم,waqf:after:ۖ,0
82,2,7,7,3,2,1,83,83,وَعَلَىٰٓ,وعلى,,0
83,2,7,8,3,3,1,84,84,أَبۡصَٰرِهِمۡ,أبصارهم,,0
84,2,7,9,3,3,1,85,85,غِشَٰوَةࣱ,غشاوة,waqf:after:ۖ,0
85,2,7,10,3,3,1,86,86,وَلَهُمۡ,ولهم,,0
86,2,7,11,3,3,1,87,87,عَذَابٌ,عذاب,,0
87,2,7,12,3,3,1,88,88,عَظِيمࣱ,عظيم,,0
88,2,8,1,3,3,1,89,89,وَمِنَ,ومن,,0
89,2,8,2,3,3,1,90,90,ٱلنَّاسِ,الناس,,0
90,2,8,3,3,4,1,91,91,مَن,من,,0
91,2,8,4,3,4,1,92,92,يَقُولُ,يقول,,0
92,2,8,5,3,4,1,93,93,ءَامَنَّا,آمنا,,0
93,2,8,6,3,4,1,94,94,بِٱللَّهِ,بالله,,0
94,2,8,7,3,4,1,95,95,وَبِٱلۡيَوۡمِ,وباليوم,,0
95,2,8,8,3,4,1,96,96,ٱلۡأٓخِرِ,الآخر,,0
96,2,8,9,3,4,1,97,97,وَمَا,وما,,0
97,2,8,10,3,4,1,98,98,هُم,هم,,0
98,2,8,11,3,4,1,99,99,بِمُؤۡمِنِينَ,بمؤمنين,,0
99,2,9,1,3,5,1,100,100,يُخَٰدِعُونَ,يخادعون,,0
100,2,9,2,3,5,1,101,101,ٱللَّهَ,الله,,0
101,2,9,3,3,5,1,102,102,وَٱلَّذِينَ,والذين,,0
102,2,9,4,3,5,1,103,103,ءَامَنُواْ,آمنوا,,0
103,2,9,5,3,5,1,104,104,وَمَا,وما,,0
104,2,9,6,3,5,1,105,105,يَخۡدَعُونَ,يخدعون,,0
105,2,9,7,3,5,1,106,106,إِلَّآ,إلا,,0
106,2,9,8,3,5,1,107,107,أَنفُسَهُمۡ,أنفسهم,,0
107,2,9,9,3,6,1,108,108,وَمَا,وما,,0
108,2,9,10,3,6,1,109,109,يَشۡعُرُونَ,يشعرون,,0
109,2,10,1,3,6,1,110,110,فِي,في,,0
110,2,10,2,3,6,1,111,111,قُلُوبِهِم,قلوبهم,,0
111,2,10,3,3,6,1,112,112,مَّرَضࣱ,مرض,,0
112,2,10,4,3,6,1,113,113,فَزَادَهُمُ,فزادهم,,0
113,2,10,5,3,6,1,114,114,ٱللَّهُ,الله,,0
114,2,10,6,3,6,1,115,115,مَرَضࣰا,مرضا,waqf:after:ۖ,0
115,2,10,7,3,7,1,116,116,وَلَهُمۡ,ولهم,,0
116,2,10,8,3,7,1,117,117,عَذَابٌ,عذاب,,0
117,2,10,9,3,7,1,118,118,أَلِيمُۢ,أليم,,0
118,2,10,10,3,7,1,119,119,بِمَا,بما,,0
119,2,10,11,3,7,1,120,120,كَانُواْ,كانوا,,0
120,2,10,12,3,7,1,121,121,يَكۡذِبُونَ,يكذبون,,0
121,2,11,1,3,7,1,122,122,وَإِذَا,وإذا,,0
122,2,11,2,3,7,1,123,123,قِيلَ,قيل,,0
123,2,11,3,3,7,1,124,124,لَهُمۡ,لهم,,0
124,2,11,4,3,8,1,125,125,لَا,لا,,0
125,2,11,5,3,8,1,126,126,تُفۡسِدُواْ,تفسدوا,,0
126,2,11,6,3,8,1,127,127,فِي,في,,0
127,2,11,7,3,8,1,128,128,ٱلۡأَرۡضِ,الأرض,,0
128,2,11,8,3,8,1,129,129,قَالُوٓاْ,قالوا,,0
129,2,11,9,3,8,1,130,130,إِنَّمَا,إنما,,0
130,2,11,10,3,8,1,131,131,نَحۡنُ,نحن,,0
131,2,11,11,3,8,1,132,132,مُصۡلِحُونَ,مصلحون,,0
132,2,12,1,3,8,1,133,133,أَلَآ,ألا,,0
133,2,12,2,3,8,1,134,134,إِنَّهُمۡ,إنهم,,0
134,2,12,3,3,9,1,135,135,هُمُ,هم,,0
135,2,12,4,3,9,1,136,136,ٱلۡمُفۡسِدُونَ,المفسدون,,0
136,2,12,5,3,9,1,137,137,وَلَٰكِن,ولكن,,0
137,2,12,6,3,9,1,138,138,لَّا,لا,,0
138,2,12,7,3,9,1,139,139,يَشۡعُرُونَ,يشعرون,,0
139,2,13,1,3,9,1,140,140,وَإِذَا,وإذا,,0
140,2,13,2,3,9,1,141,141,قِيلَ,قيل,,0
141,2,13,3,3,9,1,142,142,لَهُمۡ,لهم,,0
142,2,13,4,3,10,1,143,143,ءَامِنُواْ,آمنوا,,0
143,2,13,5,3,10,1,144,144,كَمَآ,كما,,0
144,2,13,6,3,10,1,145,145,ءَامَنَ,آمن,,0
145,2,13,7,3,10,1,146,146,ٱلنَّاسُ,الناس,,0
146,2,13,8,3,10,1,147,147,قَالُوٓاْ,قالوا,,0
147,2,13,9,3,10,1,148,148,أَنُؤۡمِنُ,أنؤمن,,0
148,2,13,10,3,10,1,149,149,كَمَآ,كما,,0
149,2,13,11,3,10,1,150,150,ءَامَنَ,آمن,,0
150,2,13,12,3,10,1,151,151,ٱلسُّفَهَآءُ,السفهاء,waqf:after:ۗ,0
151,2,13,13,3,11,1,152,152,أَلَآ,ألا,,0
152,2,13,14,3,11,1,153,153,إِنَّهُمۡ,إنهم,,0
153,2,13,15,3,11,1,154,154,هُمُ,هم,,0
154,2,13,16,3,11,1,155,155,ٱلسُّفَهَآءُ,السفهاء,,0
155,2,13,17,3,11,1,156,156,وَلَٰكِن,ولكن,,0
156,2,13,18,3,11,1,157,157,لَّا,لا,,0
157,2,13,19,3,11,1,158,158,يَعۡلَمُونَ,يعلمون,,0
158,2,14,1,3,11,1,159,159,وَإِذَا,وإذا,,0
159,2,14,2,3,11,1,160,160,لَقُواْ,لقوا,,0
160,2,14,3,3,12,1,161,161,ٱلَّذِينَ,الذين,,0
161,2,14,4,3,12,1,162,162,ءَامَنُواْ,آمنوا,,0
162,2,14,5,3,12,1,163,163,قَالُوٓاْ,قالوا,,0
163,2,14,6,3,12,1,164,164,ءَامَنَّا,آمنا,,0
164,2,14,7,3,12,1,165,165,وَإِذَا,وإذا,,0
165,2,14,8,3,12,1,166,166,خَلَوۡاْ,خلوا,,0
166,2,14,9,3,12,1,167,167,إِلَىٰ,إلى,,0
167,2,14,10,3,12,1,168,168,شَيَٰطِينِهِمۡ,شياطينهم,,0
168,2,14,11,3,12,1,169,169,قَالُوٓاْ,قالوا,,0
169,2,14,12,3,12,1,170,170,إِنَّا,إنا,,0
170,2,14,13,3,13,1,171,171,مَعَكُمۡ,معكم,,0
171,2,14,14,3,13,1,172,172,إِنَّمَا,إنما,,0
172,2,14,15,3,13,1,173,173,نَحۡنُ,نحن,,0
173,2,14,16,3,13,1,174,174,مُسۡتَهۡزِءُونَ,مستهزئون,,0
174,2,15,1,3,13,1,175,175,ٱللَّهُ,الله,,0
175,2,15,2,3,13,1,176,176,يَسۡتَهۡزِئُ,يستهزئ,,0
176,2,15,3,3,13,1,177,177,بِهِمۡ,بهم,,0
177,2,15,4,3,13,1,178,178,وَيَمُدُّهُمۡ,ويمدهم,,0
178,2,15,5,3,14,1,179,179,فِي,في,,0
179,2,15,6,3,14,1,180,180,طُغۡيَٰنِهِمۡ,طغيانهم,,0
180,2,15,7,3,14,1,181,181,يَعۡمَهُونَ,يعمهون,,0
181,2,16,1,3,14,1,182,182,أُوْلَٰٓئِكَ,أولئك,,0
182,2,16,2,3,14,1,183,183,ٱلَّذِينَ,الذين,,0
183,2,16,3,3,14,1,184,184,ٱشۡتَرَوُاْ,اشتروا,,0
184,2,16,4,3,14,1,185,185,ٱلضَّلَٰلَةَ,الضلالة,,0
185,2,16,5,3,15,1,186,186,بِٱلۡهُدَىٰ,بالهدى,,0
186,2,16,6,3,15,1,187,187,فَمَا,فما,,0
187,2,16,7,3,15,1,188,188,رَبِحَت,ربحت,,0
188,2,16,8,3,15,1,189,189,تِّجَٰرَتُهُمۡ,تجارتهم,,0
189,2,16,9,3,15,1,190,190,وَمَا,وما,,0
190,2,16,10,3,15,1,191,191,كَانُواْ,كانوا,,0
191,2,16,11,3,15,1,192,192,مُهۡتَدِينَ,مهتدين,,0
192,2,17,1,4,1,1,193,193,مَثَلُهُمۡ,مثلهم,,0
193,2,17,2,4,1,1,194,194,كَمَثَلِ,كمثل,,0
194,2,17,3,4,1,1,195,195,ٱلَّذِي,الذي,,0
195,2,17,4,4,1,1,196,196,ٱسۡتَوۡقَدَ,استوقد,,0
196,2,17,5,4,1,1,197,197,نَارࣰا,نارا,,0
197,2,17,6,4,1,1,198,198,فَلَمَّآ,فلما,,0
198,2,17,7,4,1,1,199,199,أَضَآءَتۡ,أضاءت,,0
199,2,17,8,4,1,1,200,200,مَا,ما,,0
200,2,17,9,4,1,1,201,201,حَوۡلَهُۥ,حوله,,0
201,2,17,10,4,2,1,202,202,ذَهَبَ,ذهب,,0
202,2,17,11,4,2,1,203,203,ٱللَّهُ,الله,,0
203,2,17,12,4,2,1,204,204,بِنُورِهِمۡ,بنورهم,,0
204,2,17,13,4,2,1,205,205,وَتَرَكَهُمۡ,وتركهم,,0
205,2,17,14,4,2,1,206,206,فِي,في,,0
206,2,17,15,4,2,1,207,207,ظُلُمَٰتࣲ,ظلمات,,0
207,2,17,16,4,2,1,208,208,لَّا,لا,,0
208,2,17,17,4,2,1,209,209,يُبۡصِرُونَ,يبصرون,,0
209,2,18,1,4,2,1,210,210,صُمُّۢ,صم,,0
210,2,18,2,4,3,1,211,211,بُكۡمٌ,بكم,,0
211,2,18,3,4,3,1,212,212,عُمۡيࣱ,عمي,,0
212,2,18,4,4,3,1,213,213,فَهُمۡ,فهم,,0
213,2,18,5,4,3,1,214,214,لَا,لا,,0
214,2,18,6,4,3,1,215,215,يَرۡجِعُونَ,يرجعون,,0
215,2,19,1,4,3,1,216,216,أَوۡ,أو,,0
216,2,19,2,4,3,1,217,217,كَصَيِّبࣲ,كصيب,,0
217,2,19,3,4,3,1,218,218,مِّنَ,من,,0
218,2,19,4,4,3,1,219,219,ٱلسَّمَآءِ,السماء,,0
219,2,19,5,4,3,1,220,220,فِيهِ,فيه,,0
220,2,19,6,4,4,1,221,221,ظُلُمَٰتࣱ,ظلمات,,0
221,2,19,7,4,4,1,222,222,وَرَعۡدࣱ,ورعد,,0
222,2,19,8,4,4,1,223,223,وَبَرۡقࣱ,وبرق,,0
223,2,19,9,4,4,1,224,224,يَجۡعَلُونَ,يجعلون,,0
224,2,19,10,4,4,1,225,225,أَصَٰبِعَهُمۡ,أصابعهم,,0
225,2,19,11,4,4,1,226,226,فِيٓ,في,,0
226,2,19,12,4,4,1,227,227,ءَاذَانِهِم,آذانهم,,0
227,2,19,13,4,4,1,228,228,مِّنَ,من,,0
228,2,19,14,4,5,1,229,229,ٱلصَّوَٰعِقِ,الصواعق,,0
229,2,19,15,4,5,1,230,230,حَذَرَ,حذر,,0
230,2,19,16,4,5,1,231,231,ٱلۡمَوۡتِ,الموت,waqf:after:ۚ,0
231,2,19,17,4,5,1,232,232,وَٱللَّهُ,والله,,0
232,2,19,18,4,5,1,233,233,مُحِيطُۢ,محيط,,0
233,2,19,19,4,5,1,234,234,بِٱلۡكَٰفِرِينَ,بالكافرين,,0
234,2,20,1,4,5,1,235,235,يَكَادُ,يكاد,,0
235,2,20,2,4,5,1,236,236,ٱلۡبَرۡقُ,البرق,,0
236,2,20,3,4,6,1,237,237,يَخۡطَفُ,يخطف,,0
237,2,20,4,4,6,1,238,238,أَبۡصَٰرَهُمۡ,أبصارهم,waqf:after:ۖ,0
238,2,20,5,4,6,1,239,239,كُلَّمَآ,كلما,,0
239,2,20,6,4,6,1,240,240,أَضَآءَ,أضاء,,0
240,2,20,7,4,6,1,241,241,لَهُم,لهم,,0
241,2,20,8,4,6,1,242,242,مَّشَوۡاْ,مشوا,,0
242,2,20,9,4,6,1,243,243,فِيهِ,فيه,,0
243,2,20,10,4,6,1,244,244,وَإِذَآ,وإذا,,0
244,2,20,11,4,6,1,245,245,أَظۡلَمَ,أظلم,,0
245,2,20,12,4,6,1,246,246,عَلَيۡهِمۡ,عليهم,,0
246,2,20,13,4,7,1,247,247,قَامُواْ,قاموا,waqf:after:ۚ,0
247,2,20,14,4,7,1,248,248,وَلَوۡ,ولو,,0
248,2,20,15,4,7,1,249,249,شَآءَ,شاء,,0
249,2,20,16,4,7,1,250,250,ٱللَّهُ,الله,,0
250,2,20,17,4,7,1,251,251,لَذَهَبَ,لذهب,,0
251,2,20,18,4,7,1,252,252,بِسَمۡعِهِمۡ,بسمعهم,,0
252,2,20,19,4,7,1,253,253,وَأَبۡصَٰرِهِمۡ,وأبصارهم,waqf:after:ۚ,0
253,2,20,20,4,7,1,254,254,إِنَّ,إن,,0
254,2,20,21,4,7,1,255,255,ٱللَّهَ,الله,,0
255,2,20,22,4,7,1,256,256,عَلَىٰ,على,,0
256,2,20,23,4,8,1,257,257,كُلِّ,كل,,0
257,2,20,24,4,8,1,258,258,شَيۡءࣲ,شيء,,0
258,2,20,25,4,8,1,259,259,قَدِيرࣱ,قدير,,0
259,2,21,1,4,8,1,260,260,يَٰٓأَيُّهَا,ياأيها,,0
260,2,21,2,4,8,1,261,261,ٱلنَّاسُ,الناس,,0
261,2,21,3,4,8,1,262,262,ٱعۡبُدُواْ,اعبدوا,,0
262,2,21,4,4,8,1,263,263,رَبَّكُمُ,ربكم,,0
263,2,21,5,4,8,1,264,264,ٱلَّذِي,الذي,,0
264,2,21,6,4,9,1,265,265,خَلَقَكُمۡ,خلقكم,,0
265,2,21,7,4,9,1,266,266,وَٱلَّذِينَ,والذين,,0
266,2,21,8,4,9,1,267,267,مِن,من,,0
267,2,21,9,4,9,1,268,268,قَبۡلِكُمۡ,قبلكم,,0
268,2,21,10,4,9,1,269,269,لَعَلَّكُمۡ,لعلكم,,0
269,2,21,11,4,9,1,270,270,تَتَّقُونَ,تتقون,,0
270,2,22,1,4,9,1,271,271,ٱلَّذِي,الذي,,0
271,2,22,2,4,9,1,272,272,جَعَلَ,جعل,,0
272,2,22,3,4,9,1,273,273,لَكُمُ,لكم,,0
273,2,22,4,4,10,1,274,274,ٱلۡأَرۡضَ,الأرض,,0
274,2,22,5,4,10,1,275,275,فِرَٰشࣰا,فراشا,,0
275,2,22,6,4,10,1,276,276,وَٱلسَّمَآءَ,والسماء,,0
276,2,22,7,4,10,1,277,277,بِنَآءࣰ,بناء,,0
277,2,22,8,4,10,1,278,278,وَأَنزَلَ,وأنزل,,0
278,2,22,9,4,10,1,279,279,مِنَ,من,,0
279,2,22,10,4,10,1,280,280,ٱلسَّمَآءِ,السماء,,0
280,2,22,11,4,10,1,281,281,مَآءࣰ,ماء,,0
281,2,22,12,4,10,1,282,282,فَأَخۡرَجَ,فأخرج,,0
282,2,22,13,4,11,1,283,283,بِهِۦ,به,,0
283,2,22,14,4,11,1,284,284,مِنَ,من,,0
284,2,22,15,4,11,1,285,285,ٱلثَّمَرَٰتِ,الثمرات,,0
285,2,22,16,4,11,1,286,286,رِزۡقࣰا,رزقا,,0
286,2,22,17,4,11,1,287,287,لَّكُمۡ,لكم,waqf:after:ۖ,0
287,2,22,18,4,11,1,288,288,فَلَا,فلا,,0
288,2,22,19,4,11,1,289,289,تَجۡعَلُواْ,تجعلوا,,0
289,2,22,20,4,11,1,290,290,لِلَّهِ,لله,,0
290,2,22,21,4,11,1,291,291,أَندَادࣰا,أندادا,,0
291,2,22,22,4,11,1,292,292,وَأَنتُمۡ,وأنتم,,0
292,2,22,23,4,12,1,293,293,تَعۡلَمُونَ,تعلمون,,0
293,2,23,1,4,12,1,294,294,وَإِن,وإن,,0
294,2,23,2,4,12,1,295,295,كُنتُمۡ,كنتم,,0
295,2,23,3,4,12,1,296,296,فِي,في,,0
296,2,23,4,4,12,1,297,297,رَيۡبࣲ,ريب,,0
297,2,23,5,4,12,1,298,298,مِّمَّا,مما,,0
298,2,23,6,4,12,1,299,299,نَزَّلۡنَا,نزلنا,,0
299,2,23,7,4,12,1,300,300,عَلَىٰ,على,,0
300,2,23,8,4,12,1,301,301,عَبۡدِنَا,عبدنا,,0
301,2,23,9,4,12,1,302,302,فَأۡتُواْ,فأتوا,,0
302,2,23,10,4,13,1,303,303,بِسُورَةࣲ,بسورة,,0
303,2,23,11,4,13,1,304,304,مِّن,من,,0
304,2,23,12,4,13,1,305,305,مِّثۡلِهِۦ,مثله,,0
305,2,23,13,4,13,1,306,306,وَٱدۡعُواْ,وادعوا,,0
306,2,23,14,4,13,1,307,307,شُهَدَآءَكُم,شهداءكم,,0
307,2,23,15,4,13,1,308,308,مِّن,من,,0
308,2,23,16,4,13,1,309,309,دُونِ,دون,,0
309,2,23,17,4,13,1,310,310,ٱللَّهِ,الله,,0
310,2,23,18,4,13,1,311,311,إِن,إن,,0
311,2,23,19,4,14,1,312,312,كُنتُمۡ,كنتم,,0
312,2,23,20,4,14,1,313,313,صَٰدِقِينَ,صادقين,,0
313,2,24,1,4,14,1,314,314,فَإِن,فإن,,0
314,2,24,2,4,14,1,315,315,لَّمۡ,لم,,0
315,2,24,3,4,14,1,316,316,تَفۡعَلُواْ,تفعلوا,,0
316,2,24,4,4,14,1,317,317,وَلَن,ولن,,0
317,2,24,5,4,14,1,318,318,تَفۡعَلُواْ,تفعلوا,,0
318,2,24,6,4,14,1,319,319,فَٱتَّقُواْ,فاتقوا,,0
319,2,24,7,4,14,1,320,320,ٱلنَّارَ,النار,,0
320,2,24,8,4,15,1,321,321,ٱلَّتِي,التي,,0
321,2,24,9,4,15,1,322,322,وَقُودُهَا,وقودها,,0
322,2,24,10,4,15,1,323,323,ٱلنَّاسُ,الناس,,0
323,2,24,11,4,15,1,324,324,وَٱلۡحِجَارَةُ,والحجارة,waqf:after:ۖ,0
324,2,24,12,4,15,1,325,325,أُعِدَّتۡ,أعدت,,0
325,2,24,13,4,15,1,326,326,لِلۡكَٰفِرِينَ,للكافرين,,0
326,2,25,1,5,1,1,327,327,وَبَشِّرِ,وبشر,,0
327,2,25,2,5,1,1,328,328,ٱلَّذِينَ,الذين,,0
328,2,25,3,5,1,1,329,329,ءَامَنُواْ,آمنوا,,0
329,2,25,4,5,1,1,330,330,وَعَمِلُواْ,وعملوا,,0
330,2,25,5,5,1,1,331,331,ٱلصَّٰلِحَٰتِ,الصالحات,,0
331,2,25,6,5,1,1,332,332,أَنَّ,أن,,0
332,2,25,7,5,1,1,333,333,لَهُمۡ,لهم,,0
333,2,25,8,5,1,1,334,334,جَنَّٰتࣲ,جنات,,0
334,2,25,9,5,2,1,335,335,تَجۡرِي,تجري,,0
335,2,25,10,5,2,1,336,336,مِن,من,,0
336,2,25,11,5,2,1,337,337,تَحۡتِهَا,تحتها,,0
337,2,25,12,5,2,1,338,338,ٱلۡأَنۡهَٰرُ,الأنهار,waqf:after:ۖ,0
338,2,25,13,5,2,1,339,339,كُلَّمَا,كلما,,0
339,2,25,14,5,2,1,340,340,رُزِقُواْ,رزقوا,,0
340,2,25,15,5,2,1,341,341,مِنۡهَا,منها,,0
341,2,25,16,5,2,1,342,342,مِن,من,,0
342,2,25,17,5,2,1,343,343,ثَمَرَةࣲ,ثمرة,,0
343,2,25,18,5,3,1,344,344,رِّزۡقࣰا,رزقا,,0
344,2,25,19,5,3,1,345,345,قَالُواْ,قالوا,,0
345,2,25,20,5,3,1,346,346,هَٰذَا,هذا,,0
346,2,25,21,5,3,1,347,347,ٱلَّذِي,الذي,,0
347,2,25,22,5,3,1,348,348,رُزِقۡنَا,رزقنا,,0
348,2,25,23,5,3,1,349,349,مِن,من,,0
349,2,25,24,5,3,1,350,350,قَبۡلُ,قبل,waqf:after:ۖ,0
350,2,25,25,5,3,1,351,351,وَأُتُواْ,وأتوا,,0
351,2,25,26,5,3,1,352,352,بِهِۦ,به,,0
352,2,25,27,5,3,1,353,353,مُتَشَٰبِهࣰا,متشابها,waqf:after:ۖ,0
353,2,25,28,5,4,1,354,354,وَلَهُمۡ,ولهم,,0
354,2,25,29,5,4,1,355,355,فِيهَآ,فيها,,0
355,2,25,30,5,4,1,356,356,أَزۡوَٰجࣱ,أزواج,,0
356,2,25,31,5,4,1,357,357,مُّطَهَّرَةࣱ,مطهرة,waqf:after:ۖ,0
357,2,25,32,5,4,1,358,358,وَهُمۡ,وهم,,0
358,2,25,33,5,4,1,359,359,فِيهَا,فيها,,0
359,2,25,34,5,4,1,360,360,خَٰلِدُونَ,خالدون,,0
360,2,26,1,5,4,1,361,361,إِنَّ,إن,division:before:۞,0
361,2,26,2,5,5,1,362,362,ٱللَّهَ,الله,,0
362,2,26,3,5,5,1,363,363,لَا,لا,,0
363,2,26,4,5,5,1,364,364,يَسۡتَحۡيِۦٓ,يستحيي,,0
364,2,26,5,5,5,1,365,365,أَن,أن,,0
365,2,26,6,5,5,1,366,366,يَضۡرِبَ,يضرب,,0
366,2,26,7,5,5,1,367,367,مَثَلࣰا,مثلا,,0
367,2,26,8,5,5,1,368,368,مَّا,ما,,0
368,2,26,9,5,5,1,369,369,بَعُوضَةࣰ,بعوضة,,0
369,2,26,10,5,5,1,370,370,فَمَا,فما,,0
370,2,26,11,5,5,1,371,371,فَوۡقَهَا,فوقها,waqf:after:ۚ,0
371,2,26,12,5,5,1,372,372,فَأَمَّا,فأما,,0
372,2,26,13,5,6,1,373,373,ٱلَّذِينَ,الذين,,0
373,2,26,14,5,6,1,374,374,ءَامَنُواْ,آمنوا,,0
374,2,26,15,5,6,1,375,375,فَيَعۡلَمُونَ,فيعلمون,,0
375,2,26,16,5,6,1,376,376,أَنَّهُ,أنه,,0
